obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""1150.666""","=""""","=""2.77e+05""","=""3.30e-03""","=""6.25e-01""","=""-1.783""",E,"=""6.2611819""","=""7.338682""","=""3s2.3p.3d""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",5,3,,"=""T6066LS'""","=""""",
"=""""","=""1159.546""","=""""","=""4.06e+06""","=""8.19e-02""","=""9.38e+00""","=""-0.610""",C,"=""6.2694342""","=""7.338682""","=""3s2.3p.3d""","=""3P*""","=""1""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",3,3,,"=""T6066LS'""","=""""",
"=""1161.427""","=""""","=""12""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L4745""",
"=""""","=""1164.413""","=""""","=""5.35e+06""","=""3.26e-01""","=""1.25e+01""","=""-0.487""",C,"=""6.273903""","=""7.338682""","=""3s2.3p.3d""","=""3P*""","=""0""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",1,3,,"=""T6066LS'""","=""""",
"=""""","=""1189.3738""","=""""","=""6.62e+04""","=""1.40e-03""","=""1.65e-01""","=""-2.377""",D,"=""5.0823459""","=""6.1247785""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.4p""","=""3S""","=""1""",3,3,,"=""T8363c22""","=""""",
"=""1198.747""","=""1198.7478""","=""370""","=""1.40e+07""","=""5.03e-01""","=""5.95e+01""","=""0.179""",B,"=""4.9296471""","=""5.9639280""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.4p""","=""3D""","=""2""",3,5,,"=""T8363c22""","=""L4745""",
"=""1199.485""","=""1199.4850""","=""220""","=""1.04e+07""","=""6.74e-01""","=""2.66e+01""","=""-0.171""",C+,"=""4.9200852""","=""5.9537304""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.4p""","=""3D""","=""1""",1,3,,"=""T8363c22""","=""L4745""",
"=""1203.480""","=""1203.4796""","=""440""","=""1.73e+07""","=""5.24e-01""","=""1.04e+02""","=""0.418""",B,"=""4.9537952""","=""5.9840096""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.4p""","=""3D""","=""3""",5,7,,"=""T8363c22""","=""L4745""",
"=""1210.684""","=""1210.6847""","=""150""","=""6.10e+06""","=""1.34e-01""","=""1.60e+01""","=""-0.396""",C+,"=""4.9296471""","=""5.9537304""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.4p""","=""3D""","=""1""",3,3,,"=""T8363c22""","=""L4745""",
"=""""","=""1219.9983""","=""""","=""1.65e+03""","=""6.13e-05""","=""7.39e-03""","=""-3.735""",E,"=""5.0823459""","=""6.0986113""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.4p""","=""3P""","=""2""",3,5,,"=""T8363c22""","=""""",
"=""1227.404""","=""1227.4050""","=""120""","=""3.20e+06""","=""7.23e-02""","=""1.46e+01""","=""-0.442""",C+,"=""4.9537952""","=""5.9639280""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.4p""","=""3D""","=""2""",5,5,,"=""T8363c22""","=""L4745""",
"=""""","=""1239.3544""","=""""","=""1.55e+05""","=""3.58e-03""","=""4.38e-01""","=""-1.969""",D+,"=""5.0823459""","=""6.0827393""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.4p""","=""3P""","=""1""",3,3,,"=""T8363c22""","=""""",
"=""""","=""1239.9224""","=""""","=""3.01e+05""","=""4.16e-03""","=""8.50e-01""","=""-1.682""",C+,"=""4.9537952""","=""5.9537304""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.4p""","=""3D""","=""1""",5,3,,"=""T8363c22""","=""""",
"=""""","=""1244.3367""","=""""","=""4.85e+04""","=""3.75e-04""","=""4.61e-02""","=""-2.949""",E,"=""5.0823459""","=""6.0787337""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.4p""","=""3P""","=""0""",3,1,,"=""T8363c22""","=""""",
"=""""","=""1303.309""","=""""","=""7.60e+06""","=""6.45e-02""","=""8.30e+00""","=""-0.713""",D,"=""6.0827393""","=""7.034043""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.4d""","=""3P*""","=""0""",3,1,,"=""T6066LS""","=""""",
"=""""","=""1303.449""","=""""","=""2.53e+06""","=""1.93e-01""","=""8.28e+00""","=""-0.714""",D,"=""6.0787337""","=""7.029935""","=""3s2.3p.4p""","=""3P""","=""0""","=""3s2.3p.4d""","=""3P*""","=""1""",1,3,,"=""T6066LS""","=""""",
"=""""","=""1308.961""","=""""","=""1.88e+06""","=""4.82e-02""","=""6.23e+00""","=""-0.840""",D,"=""6.0827393""","=""7.029935""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.4d""","=""3P*""","=""1""",3,3,,"=""T6066LS""","=""""",
"=""""","=""1310.5641""","=""""","=""1.87e+06""","=""8.02e-02""","=""1.04e+01""","=""-0.619""",D+,"=""6.0827393""","=""7.0287762""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.4d""","=""3P*""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""""","=""1315.6340""","=""""","=""3.04e+04""","=""2.37e-03""","=""1.02e-01""","=""-2.625""",D,"=""4.9200852""","=""5.8624764""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.4p""","=""1P""","=""1""",1,3,,"=""T8363c22""","=""""",
"=""1318.050""","=""1318.0492""","=""11""","=""1.18e+07""","=""3.07e-01""","=""4.00e+01""","=""-0.036""",C+,"=""5.8624764""","=""6.8031408""","=""3s2.3p.4p""","=""1P""","=""1""","=""3s2.3p.5s""","=""1P*""","=""1""",3,3,,"=""T6066""","=""L4745""",
"=""""","=""1329.1198""","=""""","=""4.61e+05""","=""1.22e-02""","=""1.60e+00""","=""-1.437""",C,"=""4.9296471""","=""5.8624764""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.4p""","=""1P""","=""1""",3,3,,"=""T8363c22""","=""""",
"=""""","=""1331.268""","=""""","=""2.97e+06""","=""4.73e-02""","=""1.04e+01""","=""-0.626""",D+,"=""6.0986113""","=""7.029935""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.4d""","=""3P*""","=""1""",5,3,,"=""T6066LS""","=""""",
"=""""","=""1332.9271""","=""""","=""5.33e+06""","=""1.42e-01""","=""3.12e+01""","=""-0.149""",C,"=""6.0986113""","=""7.0287762""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.4d""","=""3P*""","=""2""",5,5,,"=""T6066LS""","=""""",
"=""""","=""1340.106""","=""""","=""3.70e+05""","=""9.95e-03""","=""1.32e+00""","=""-1.525""",D,"=""6.7181165""","=""7.643299""","=""3s2.3p.3d""","=""3D*""","=""1""","=""3s2.3p.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",3,3,,"=""T6066LS'""","=""""",
"=""""","=""1343.676""","=""""","=""1.23e+05""","=""1.99e-03""","=""4.40e-01""","=""-2.002""",E,"=""6.7205746""","=""7.643299""","=""3s2.3p.3d""","=""3D*""","=""2""","=""3s2.3p.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",5,3,,"=""T6066LS'""","=""""",
"=""""","=""1361.0633""","=""""","=""1.35e+03""","=""5.25e-05""","=""1.18e-02""","=""-3.581""",E,"=""6.1807152""","=""7.0916515""","=""3s2.3p.3d""","=""3F*""","=""2""","=""3s2.3p.5p""","=""3D""","=""3""",5,7,,"=""T6066LS""","=""""",
"=""""","=""1363.566""","=""""","=""9.40e+06""","=""8.73e-02""","=""1.18e+01""","=""-0.582""",D+,"=""6.1247785""","=""7.034043""","=""3s2.3p.4p""","=""3S""","=""1""","=""3s2.3p.4d""","=""3P*""","=""0""",3,1,,"=""T6066LS""","=""""",
"=""""","=""1364.4411""","=""""","=""1.44e+03""","=""2.41e-05""","=""5.42e-03""","=""-3.919""",E,"=""4.9537952""","=""5.8624764""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.4p""","=""1P""","=""1""",5,3,,"=""T8363c22""","=""""",
"=""""","=""1369.754""","=""""","=""9.28e+06""","=""2.61e-01""","=""3.53e+01""","=""-0.106""",C,"=""6.1247785""","=""7.029935""","=""3s2.3p.4p""","=""3S""","=""1""","=""3s2.3p.4d""","=""3P*""","=""1""",3,3,,"=""T6066LS""","=""""",
"=""""","=""1371.5101""","=""""","=""9.23e+06""","=""4.34e-01""","=""5.88e+01""","=""0.115""",C,"=""6.1247785""","=""7.0287762""","=""3s2.3p.4p""","=""3S""","=""1""","=""3s2.3p.4d""","=""3P*""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""""","=""1376.6042""","=""""","=""4.61e+04""","=""1.31e-03""","=""4.16e-01""","=""-2.038""",E,"=""6.1909991""","=""7.0916515""","=""3s2.3p.3d""","=""3F*""","=""3""","=""3s2.3p.5p""","=""3D""","=""3""",7,7,,"=""T6066LS""","=""""",
"=""""","=""1390.9140""","=""""","=""4.57e+06""","=""3.98e-01""","=""1.82e+01""","=""-0.400""",C,"=""6.3990739""","=""7.2904604""","=""3s2.3p.4p""","=""1S""","=""0""","=""3s2.3p.4d""","=""1P*""","=""1""",1,3,,"=""T6066""","=""""",
"=""""","=""1395.3490""","=""""","=""6.20e+04""","=""1.81e-03""","=""4.16e-01""","=""-2.043""",E,"=""6.1807152""","=""7.0692685""","=""3s2.3p.3d""","=""3F*""","=""2""","=""3s2.3p.5p""","=""3D""","=""2""",5,5,,"=""T6066LS""","=""""",
"=""""","=""1399.928""","=""""","=""5.08e+05""","=""1.16e-02""","=""4.81e+00""","=""-0.981""",D+,"=""6.206004""","=""7.0916515""","=""3s2.3p.3d""","=""3F*""","=""4""","=""3s2.3p.5p""","=""3D""","=""3""",9,7,,"=""T6066LS""","=""""",
"=""""","=""1403.0311""","=""""","=""5.49e+05""","=""9.72e-03""","=""2.24e+00""","=""-1.313""",D,"=""6.1807152""","=""7.0644034""","=""3s2.3p.3d""","=""3F*""","=""2""","=""3s2.3p.5p""","=""3D""","=""1""",5,3,,"=""T6066LS""","=""""",
"=""""","=""1406.3829""","=""""","=""1.42e+04""","=""7.03e-04""","=""9.77e-02""","=""-2.676""",D,"=""5.0823459""","=""5.9639280""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.4p""","=""3D""","=""2""",3,5,,"=""T8363c22""","=""""",
"=""""","=""1411.6874""","=""""","=""4.78e+05""","=""1.02e-02""","=""3.32e+00""","=""-1.146""",D+,"=""6.1909991""","=""7.0692685""","=""3s2.3p.3d""","=""3F*""","=""3""","=""3s2.3p.5p""","=""3D""","=""2""",7,5,,"=""T6066LS""","=""""",
"=""""","=""1422.8414""","=""""","=""2.65e+05""","=""8.06e-03""","=""1.13e+00""","=""-1.617""",C,"=""5.0823459""","=""5.9537304""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.4p""","=""3D""","=""1""",3,3,,"=""T8363c22""","=""""",
"=""""","=""1444.8719""","=""""","=""7.59e+02""","=""3.96e-05""","=""5.65e-03""","=""-3.925""",E,"=""5.8624764""","=""6.7205746""","=""3s2.3p.4p""","=""1P""","=""1""","=""3s2.3p.3d""","=""3D*""","=""2""",3,5,,"=""T8363c22""","=""""",
"=""""","=""1449.0227""","=""""","=""1.69e+04""","=""5.30e-04""","=""7.59e-02""","=""-2.799""",D,"=""5.8624764""","=""6.7181165""","=""3s2.3p.4p""","=""1P""","=""1""","=""3s2.3p.3d""","=""3D*""","=""1""",3,3,,"=""T8363c22""","=""""",
"=""""","=""1536.5359""","=""""","=""1.10e+05""","=""6.50e-03""","=""9.86e-01""","=""-1.710""",D,"=""5.9537304""","=""6.7606376""","=""3s2.3p.4p""","=""3D""","=""1""","=""3s2.3p.5s""","=""3P*""","=""2""",3,5,,"=""T5071LS""","=""""",
"=""""","=""1538.594""","=""""","=""1.21e+04""","=""5.99e-04""","=""1.52e-01""","=""-2.524""",E,"=""6.7205746""","=""7.526402""","=""3s2.3p.3d""","=""3D*""","=""2""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""3""",5,7,,"=""T6066LS'""","=""""",
"=""""","=""1551.122""","=""""","=""9.37e+04""","=""3.38e-03""","=""1.21e+00""","=""-1.626""",D,"=""6.7270828""","=""7.526402""","=""3s2.3p.3d""","=""3D*""","=""3""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""3""",7,7,,"=""T6066LS'""","=""""",
"=""""","=""1556.2030""","=""""","=""1.59e+06""","=""5.77e-02""","=""1.48e+01""","=""-0.540""",C,"=""5.9639280""","=""6.7606376""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.5s""","=""3P*""","=""2""",5,5,,"=""T5071LS""","=""""",
"=""""","=""1581.477""","=""""","=""7.98e+05""","=""4.19e-02""","=""1.09e+01""","=""-0.679""",D,"=""7.0692685""","=""7.853246""","=""3s2.3p.5p""","=""3D""","=""2""","=""3s2.3p.7d""","=""3F*""","=""3""",5,7,,"=""T6066LS""","=""""",
"=""""","=""1583.1537""","=""""","=""8.96e+05""","=""4.33e-02""","=""1.58e+01""","=""-0.518""",D,"=""7.0916515""","=""7.8747985""","=""3s2.3p.5p""","=""3D""","=""3""","=""3s2.3p.7d""","=""3F*""","=""4""",7,9,,"=""T6066LS""","=""""",
"=""""","=""1583.7929""","=""""","=""4.44e+06""","=""1.67e-01""","=""4.35e+01""","=""-0.078""",C+,"=""6.2226912""","=""7.0055221""","=""3s2.3p.4p""","=""1D""","=""2""","=""3s2.3p.4d""","=""1D*""","=""2""",5,5,,"=""T6066""","=""""",
"=""""","=""1587.5914""","=""""","=""3.97e-07""","=""7.50e-14""","=""1.79e-03""","=""-13.12""",D,"=""0.0000000""","=""0.7809579""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p2""","=""1D""","=""2""",1,5,E2,"=""c22,T4209""","=""""",
"=""""","=""1588.8794""","=""""","=""2.49e+06""","=""9.43e-02""","=""1.48e+01""","=""-0.548""",C,"=""5.9537304""","=""6.7340552""","=""3s2.3p.4p""","=""3D""","=""1""","=""3s2.3p.5s""","=""3P*""","=""1""",3,3,,"=""T5071LS""","=""""",
"=""1589.273""","=""1589.2751""","=""190""","=""8.77e+06""","=""3.32e-01""","=""5.21e+01""","=""-0.002""",B,"=""5.0823459""","=""5.8624764""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.4p""","=""1P""","=""1""",3,3,,"=""T8363c22""","=""L4745""",
"=""1596.440""","=""1596.4424""","=""40""","=""8.24e+06""","=""2.25e-01""","=""8.28e+01""","=""0.197""",C+,"=""5.9840096""","=""6.7606376""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.5s""","=""3P*""","=""2""",7,5,,"=""T5071LS""","=""L4745""",
"=""""","=""1606.004""","=""""","=""7.20e+05""","=""4.64e-02""","=""7.36e+00""","=""-0.856""",E,"=""7.0644034""","=""7.836408""","=""3s2.3p.5p""","=""3D""","=""1""","=""3s2.3p.7d""","=""3F*""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""1606.442""","=""1606.4396""","=""95""","=""9.62e+06""","=""1.24e-01""","=""1.97e+01""","=""-0.429""",C,"=""5.9537304""","=""6.7255253""","=""3s2.3p.4p""","=""3D""","=""1""","=""3s2.3p.5s""","=""3P*""","=""0""",3,1,,"=""T5071LS""","=""L4745""",
"=""""","=""1607.2687""","=""""","=""4.02e-06""","=""2.59e-13""","=""1.92e-02""","=""-12.11""",D,"=""0.0095610""","=""0.7809579""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""1D""","=""2""",3,5,E2,"=""c22,T4209""","=""""",
"=""""","=""1607.2687""","=""""","=""7.10e-04""","=""4.58e-11""","=""5.46e-04""","=""-9.86""",D,"=""0.0095610""","=""0.7809579""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""1D""","=""2""",3,5,M1,"=""c22,T4209""","=""""",
"=""1609.920""","=""1609.9184""","=""20""","=""7.16e+06""","=""1.67e-01""","=""4.43e+01""","=""-0.078""",C+,"=""5.9639280""","=""6.7340552""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.5s""","=""3P*""","=""1""",5,3,,"=""T5071LS""","=""L4745""",
"=""""","=""1613.342""","=""""","=""5.89e+05""","=""2.81e-02""","=""1.34e+01""","=""-0.597""",D,"=""7.1394636""","=""7.907956""","=""3s2.3p.4d""","=""3F*""","=""4""","=""3s2.3p.(2P*<3/2>).7f""","=""2[9/2]""","=""5""",9,11,,"=""T6066LS'""","=""""",
"=""""","=""1616.189""","=""""","=""1.31e+05""","=""5.14e-03""","=""1.37e+00""","=""-1.590""",E,"=""7.0692685""","=""7.836408""","=""3s2.3p.5p""","=""3D""","=""2""","=""3s2.3p.7d""","=""3F*""","=""2""",5,5,,"=""T6066LS""","=""""",
"=""1616.813""","=""1616.8107""","=""60""","=""7.26e+05""","=""4.74e-02""","=""7.58e+00""","=""-0.847""",C+,"=""5.9537304""","=""6.7205746""","=""3s2.3p.4p""","=""3D""","=""1""","=""3s2.3p.3d""","=""3D*""","=""2""",3,5,,"=""T8363c22""","=""L4745""",
"=""""","=""1619.090""","=""""","=""2.09e+05""","=""1.15e-02""","=""3.06e+00""","=""-1.240""",D,"=""6.7606376""","=""7.526402""","=""3s2.3p.5s""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""3""",5,7,,"=""T6066LS'""","=""""",
"=""1622.011""","=""1622.0100""","=""11""","=""2.25e+06""","=""8.87e-02""","=""1.42e+01""","=""-0.575""",C+,"=""5.9537304""","=""6.7181165""","=""3s2.3p.4p""","=""3D""","=""1""","=""3s2.3p.3d""","=""3D*""","=""1""",3,3,,"=""T8363c22""","=""L4745""",
"=""""","=""1624.6270""","=""""","=""6.28e+05""","=""3.48e-02""","=""9.30e+00""","=""-0.759""",C+,"=""5.9639280""","=""6.7270828""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.3d""","=""3D*""","=""3""",5,7,,"=""T8363c22""","=""""",
"=""""","=""1627.956""","=""""","=""9.19e+04""","=""3.65e-03""","=""1.37e+00""","=""-1.593""",E,"=""7.0916515""","=""7.853246""","=""3s2.3p.5p""","=""3D""","=""3""","=""3s2.3p.7d""","=""3F*""","=""3""",7,7,,"=""T6066LS""","=""""",
"=""""","=""1638.4651""","=""""","=""4.16e+06""","=""1.67e-01""","=""2.71e+01""","=""-0.300""",C+,"=""5.8624764""","=""6.6191858""","=""3s2.3p.4p""","=""1P""","=""1""","=""3s2.3p.3d""","=""1P*""","=""1""",3,3,,"=""T8363c22""","=""""",
"=""1638.603""","=""1638.6010""","=""16""","=""2.02e+06""","=""8.13e-02""","=""2.19e+01""","=""-0.391""",C+,"=""5.9639280""","=""6.7205746""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.3d""","=""3D*""","=""2""",5,5,,"=""T8363c22""","=""L4745""",
"=""""","=""1643.9416""","=""""","=""7.13e+05""","=""1.73e-02""","=""4.69e+00""","=""-1.063""",C+,"=""5.9639280""","=""6.7181165""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.3d""","=""3D*""","=""1""",5,3,,"=""T8363c22""","=""""",
"=""""","=""1645.9028""","=""""","=""2.32e-05""","=""9.42e-13""","=""1.25e-01""","=""-11.33""",D+,"=""0.0276679""","=""0.7809579""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p2""","=""1D""","=""2""",5,5,E2,"=""c22,T4209""","=""""",
"=""""","=""1645.9028""","=""""","=""1.99e-03""","=""8.08e-11""","=""1.65e-03""","=""-9.39""",D,"=""0.0276679""","=""0.7809579""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p2""","=""1D""","=""2""",5,5,M1,"=""c22,T4209""","=""""",
"=""""","=""1664.762""","=""""","=""3.40e+03""","=""1.01e-04""","=""3.87e-02""","=""-3.151""",E,"=""7.0916515""","=""7.836408""","=""3s2.3p.5p""","=""3D""","=""3""","=""3s2.3p.7d""","=""3F*""","=""2""",7,5,,"=""T6066LS""","=""""",
"=""1668.533""","=""1668.5326""","=""29""","=""2.79e+06""","=""1.16e-01""","=""4.47e+01""","=""-0.090""",B,"=""5.9840096""","=""6.7270828""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.3d""","=""3D*""","=""3""",7,7,,"=""T8363c22""","=""L4745""",
"=""""","=""1683.2755""","=""""","=""4.59e+05""","=""1.39e-02""","=""5.41e+00""","=""-1.012""",C+,"=""5.9840096""","=""6.7205746""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.3d""","=""3D*""","=""2""",7,5,,"=""T8363c22""","=""""",
"=""1733.202""","=""""","=""28""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L4745""",
"=""""","=""1776.224""","=""""","=""1.13e+05""","=""1.61e-02""","=""9.41e-01""","=""-1.793""",E,"=""7.1037839""","=""7.801805""","=""3s2.3p.5p""","=""3P""","=""0""","=""3s2.3p.6d""","=""3D*""","=""1""",1,3,,"=""T6066LS""","=""""",
"=""""","=""1786.67""","=""""","=""8.34e+04""","=""3.99e-03""","=""7.04e-01""","=""-1.922""",E,"=""7.1078640""","=""7.801805""","=""3s2.3p.5p""","=""3P""","=""1""","=""3s2.3p.6d""","=""3D*""","=""1""",3,3,,"=""T6066LS""","=""""",
"=""""","=""1828.86""","=""""","=""1.87e+05""","=""1.31e-02""","=""3.94e+00""","=""-1.184""",D+,"=""7.1251535""","=""7.803087""","=""3s2.3p.5p""","=""3P""","=""2""","=""3s2.3p.6d""","=""3D*""","=""3""",5,7,,"=""T6066LS""","=""""",
"=""""","=""1828.950""","=""""","=""1.56e+06""","=""1.30e-01""","=""2.35e+01""","=""-0.409""",C,"=""6.0827393""","=""6.7606376""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""""","=""1832.32""","=""""","=""5.17e+03""","=""1.56e-04""","=""4.71e-02""","=""-3.108""",E,"=""7.1251535""","=""7.801805""","=""3s2.3p.5p""","=""3P""","=""2""","=""3s2.3p.6d""","=""3D*""","=""1""",5,3,,"=""T6066LS""","=""""",
"=""""","=""1836.14""","=""""","=""1.39e+05""","=""1.17e-02""","=""2.12e+00""","=""-1.455""",D,"=""7.1078640""","=""7.783107""","=""3s2.3p.5p""","=""3P""","=""1""","=""3s2.3p.6d""","=""3D*""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""""","=""1857.72""","=""""","=""7.72e+05""","=""4.88e-02""","=""2.69e+01""","=""-0.357""",C,"=""7.1394636""","=""7.806865""","=""3s2.3p.4d""","=""3F*""","=""4""","=""3s2.3p.(2P*<3/2>).6f""","=""2[9/2]""","=""5""",9,11,,"=""T6066LS'""","=""""",
"=""""","=""1859.984""","=""""","=""1.37e+06""","=""1.18e-01""","=""2.17e+01""","=""-0.451""",D+,"=""7.0398757""","=""7.7064630""","=""3s2.3p.5p""","=""1P""","=""1""","=""3s2.3p.6d""","=""1D*""","=""2""",3,5,,"=""T6066""","=""""",
"=""""","=""1861.62""","=""""","=""1.28e+06""","=""1.11e-01""","=""2.04e+01""","=""-0.478""",C,"=""7.0644034""","=""7.730406""","=""3s2.3p.5p""","=""3D""","=""1""","=""3s2.3p.6d""","=""3F*""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""""","=""1863.148""","=""""","=""6.38e+02""","=""3.32e-05""","=""6.11e-03""","=""-4.002""",E,"=""5.9537304""","=""6.6191858""","=""3s2.3p.4p""","=""3D""","=""1""","=""3s2.3p.3d""","=""1P*""","=""1""",3,3,,"=""T8363c22""","=""""",
"=""""","=""1865.907""","=""""","=""1.34e+06""","=""9.80e-02""","=""3.01e+01""","=""-0.310""",C,"=""7.0692685""","=""7.7337400""","=""3s2.3p.5p""","=""3D""","=""2""","=""3s2.3p.6d""","=""3F*""","=""3""",5,7,,"=""T6066LS""","=""""",
"=""1872.801""","=""1872.798""","=""26""","=""4.34e+06""","=""2.28e-01""","=""7.03e+01""","=""0.057""",C+,"=""6.0986113""","=""6.7606376""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.5s""","=""3P*""","=""2""",5,5,,"=""T6066LS""","=""L4745""",
"=""""","=""1874.04""","=""""","=""1.49e+06""","=""1.01e-01""","=""4.36e+01""","=""-0.151""",C+,"=""7.0916515""","=""7.753238""","=""3s2.3p.5p""","=""3D""","=""3""","=""3s2.3p.6d""","=""3F*""","=""4""",7,9,,"=""T6066LS""","=""""",
"=""""","=""1875.32""","=""""","=""2.31e+05""","=""1.22e-02""","=""3.77e+00""","=""-1.215""",D,"=""7.0692685""","=""7.730406""","=""3s2.3p.5p""","=""3D""","=""2""","=""3s2.3p.6d""","=""3F*""","=""2""",5,5,,"=""T6066LS""","=""""",
"=""""","=""1884.39""","=""""","=""4.26e+04""","=""2.27e-03""","=""7.04e-01""","=""-1.945""",E,"=""7.1251535""","=""7.783107""","=""3s2.3p.5p""","=""3P""","=""2""","=""3s2.3p.6d""","=""3D*""","=""2""",5,5,,"=""T6066LS""","=""""",
"=""""","=""1891.960""","=""""","=""1.87e+06""","=""3.01e-01""","=""1.87e+01""","=""-0.521""",C,"=""6.0787337""","=""6.7340552""","=""3s2.3p.4p""","=""3P""","=""0""","=""3s2.3p.5s""","=""3P*""","=""1""",1,3,,"=""T6066LS""","=""""",
"=""""","=""1892.144""","=""""","=""2.02e+04""","=""6.51e-04""","=""2.03e-01""","=""-2.487""",D,"=""5.9639280""","=""6.6191858""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.3d""","=""1P*""","=""1""",5,3,,"=""T8363c22""","=""""",
"=""""","=""1901.17""","=""""","=""2.10e+04""","=""1.59e-03""","=""4.97e-01""","=""-2.100""",D+,"=""5.9639280""","=""6.616075""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.3d""","=""1F*""","=""3""",5,7,,"=""T8363c22""","=""""",
"=""""","=""1903.595""","=""""","=""1.38e+06""","=""7.47e-02""","=""1.40e+01""","=""-0.650""",C,"=""6.0827393""","=""6.7340552""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""1""",3,3,,"=""T6066LS""","=""""",
"=""""","=""1928.856""","=""""","=""5.29e+06""","=""9.83e-02""","=""1.87e+01""","=""-0.530""",C,"=""6.0827393""","=""6.7255253""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""0""",3,1,,"=""T6066LS""","=""""",
"=""""","=""1930.952""","=""""","=""1.52e+05""","=""8.48e-03""","=""3.77e+00""","=""-1.227""",D+,"=""7.0916515""","=""7.7337400""","=""3s2.3p.5p""","=""3D""","=""3""","=""3s2.3p.6d""","=""3F*""","=""3""",7,7,,"=""T6066LS""","=""""",
"=""1939.123""","=""1939.123""","=""15""","=""3.43e+06""","=""5.80e-01""","=""3.70e+01""","=""-0.237""",B,"=""6.0787337""","=""6.7181165""","=""3s2.3p.4p""","=""3P""","=""0""","=""3s2.3p.3d""","=""3D*""","=""1""",1,3,,"=""T8363c22""","=""L4745""",
