obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""344.7238""","=""0.0013""","=""344.72372""","=""0.00015""","=""640""","=""3.6e+07""","=""8.6e-02""","=""5.9e+00""","=""-0.29""",C,"=""0.2766623""","=""3.873287""","=""6d.7s2""","=""2D""","=""5/2""","=""5f.7s2""","=""2F*""","=""7/2""",6,8,,"=""T10463""","=""L7344""",
"=""350.7253""","=""0.0013""","=""""","=""""","=""130""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""355.0484""","=""0.0004""","=""355.04879""","=""0.00004""","=""140""","=""""","=""""","=""""","=""""",,"=""0.2766623""","=""3.768695""","=""6d.7s2""","=""2D""","=""5/2""","=""6d2.(3F).7p""","=""4F*""","=""3/2""",6,4,,"=""""","=""L7344""",
"=""364.5459""","=""0.0013""","=""""","=""""","=""83""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""365.4531""","=""0.0013""","=""""","=""""","=""41""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""366.3393""","=""0.0013""","=""""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""369.3411""","=""0.0013""","=""""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""370.2353""","=""0.0004""","=""370.23521""","=""0.00003""","=""2100""","=""7.e+06""","=""2.2e-02""","=""1.1e+00""","=""-1.1""",E,"=""0.0000000""","=""3.3487955""","=""6d.7s2""","=""2D""","=""3/2""","=""6d2.(3F).7p""","=""4G*""","=""5/2""",4,6,,"=""T10463""","=""L7344""",
"=""372.6307""","=""0.0004""","=""372.63108""","=""0.00003""","=""110""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""3.3272640""","=""6d.7s2""","=""2D""","=""3/2""","=""6d.7s.(1D).7p""","=""2D*""","=""5/2""",4,6,,"=""""","=""L7344""",
"=""373.7012""","=""0.0013""","=""""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""376.8871""","=""0.0003""","=""""","=""""","=""600""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""379.6938""","=""0.0010""","=""379.69477""","=""0.00003""","=""430""","=""4.e+06""","=""1.2e-02""","=""9.e-01""","=""-1.1""",E,"=""0.2766623""","=""3.5420272""","=""6d.7s2""","=""2D""","=""5/2""","=""6d2.(3F).7p""","=""4G*""","=""7/2""",6,8,,"=""T10463""","=""L7344""",
"=""381.5443""","=""0.0013""","=""""","=""""","=""730""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""383.6408""","=""0.0004""","=""383.64086""","=""0.00004""","=""1900""","=""4.78e+07""","=""1.1e-01""","=""5.3e+00""","=""-0.37""",D+,"=""0.0000000""","=""3.2317777""","=""6d.7s2""","=""2D""","=""3/2""","=""6d.7s.(1D).7p""","=""2P*""","=""3/2""",4,4,,"=""T10463""","=""L7344""",
"=""384.4130""","=""0.0013""","=""384.41301""","=""0.00019""","=""6600""","=""1.58e+08""","=""2.34e-01""","=""1.78e+01""","=""0.15""",B,"=""0.2766623""","=""3.501949""","=""6d.7s2""","=""2D""","=""5/2""","=""6d.7s.(3D).7p""","=""2P*""","=""3/2""",6,4,,"=""T10463""","=""L7344""",
